nct_id,start_year,elig_word_count,summary_word_count,desc_word_count,n_inclusion,n_exclusion,fk_grade_elig,fk_grade_summary,n_numeric_constraints,n_biomarker_terms,label
NCT03606486,2018.0,46.0,179.0,31.0,4.0,4.0,25.675,19.231111111111115,0.0,0.0,0
NCT03745287,2018.0,89.0,40.0,0.0,6.0,5.0,41.191428571428574,12.567272727272726,0.0,1.0,1
NCT06492304,2024.0,510.0,27.0,68.0,8.0,11.0,15.171729797979797,21.16222222222223,15.0,11.0,1
NCT03681951,2018.0,1453.0,82.0,228.0,10.0,20.0,15.006147776183646,16.529006024096393,31.0,6.0,0
NCT04438083,2020.0,179.0,25.0,8.0,7.0,9.0,10.757804878048784,17.242307692307694,5.0,1.0,0
NCT04502446,2020.0,165.0,27.0,9.0,6.0,9.0,11.376842105263162,16.822857142857142,3.0,1.0,0
NCT04035434,2019.0,269.0,23.0,68.0,7.0,10.0,11.067342857142858,16.878333333333334,8.0,4.0,0
NCT03655678,2018.0,177.0,38.0,0.0,6.0,8.0,25.60465976331361,14.474069767441858,6.0,3.0,1
NCT05812326,2019.0,667.0,29.0,154.0,11.0,19.0,13.102227191413238,20.121250000000007,24.0,3.0,1
NCT04557436,2020.0,370.0,137.0,0.0,6.0,19.0,21.8914871060172,14.514659863945578,14.0,5.0,1
NCT04426669,2020.0,1281.0,37.0,262.0,25.0,35.0,13.653076950480944,24.790000000000003,46.0,15.0,1
NCT03399448,2018.0,780.0,22.0,0.0,25.0,12.0,10.487732286435811,13.611538461538462,25.0,7.0,0
NCT06128044,2024.0,212.0,82.0,0.0,8.0,13.0,47.62296954314721,15.335061728395065,3.0,1.0,0
NCT03081715,2017.0,162.0,28.0,43.0,10.0,10.0,28.286944444444448,11.362857142857145,2.0,0.0,1
NCT02793856,2016.0,172.0,28.0,66.0,9.0,10.0,23.37342105263158,10.409827586206898,5.0,0.0,1
NCT05066165,2021.0,187.0,26.0,41.0,8.0,10.0,15.747380311995698,20.41923076923077,3.0,1.0,0
NCT04244656,2020.0,260.0,24.0,0.0,7.0,12.0,11.717688172043012,16.816,7.0,2.0,0
NCT05795595,2023.0,136.0,23.0,60.0,7.0,7.0,13.069028571428579,16.46695652173913,2.0,1.0,1
NCT06311396,2021.0,45.0,55.0,209.0,4.0,2.0,19.27181818181818,13.872727272727271,1.0,0.0,1
NCT06094842,2025.0,756.0,238.0,205.0,21.0,15.0,22.681364357864357,16.593271889400928,24.0,3.0,0
NCT04450069,2020.0,340.0,99.0,55.0,13.0,12.0,39.23075949367089,17.203775510204085,4.0,4.0,1
NCT04109482,2020.0,655.0,19.0,33.0,21.0,21.0,11.805335200746967,11.752222222222223,25.0,3.0,0
NCT05270928,2022.0,204.0,18.0,0.0,6.0,6.0,11.487379581151831,18.170000000000005,7.0,0.0,1
NCT06709131,2025.0,718.0,18.0,37.0,9.0,15.0,15.147377561219393,16.662105263157894,22.0,6.0,0
NCT04890236,2022.0,1216.0,70.0,169.0,22.0,29.0,23.94389371980677,19.488333333333333,28.0,8.0,1
NCT05372692,2022.0,187.0,19.0,36.0,6.0,8.0,13.89978571428572,20.880909090909096,4.0,2.0,1
NCT03173417,2017.0,187.0,22.0,27.0,7.0,14.0,10.640351219512194,17.37,8.0,4.0,1
NCT05489991,2022.0,706.0,44.0,140.0,12.0,14.0,13.308184789950019,27.221666666666668,19.0,6.0,0
NCT02209376,2014.0,940.0,58.0,0.0,28.0,26.0,12.213559633027522,30.02,11.0,23.0,0
NCT04249947,2020.0,288.0,20.0,98.0,8.0,14.0,32.823349056603774,11.470000000000002,7.0,0.0,0
NCT05634785,2022.0,308.0,357.0,0.0,6.0,3.0,10.830501672240803,10.163484848484849,1.0,5.0,1
NCT03726515,2019.0,601.0,31.0,0.0,16.0,18.0,13.445096577631851,21.227500000000003,13.0,11.0,1
NCT01593696,2012.0,1300.0,297.0,648.0,17.0,31.0,18.84380178716491,9.611219931271478,34.0,11.0,1
NCT04539366,2022.0,1922.0,111.0,410.0,44.0,13.0,18.11167789420134,12.707456140350882,51.0,18.0,0
NCT05510596,2022.0,183.0,282.0,429.0,4.0,16.0,31.910419161676646,20.710065743944636,1.0,0.0,1
NCT03890198,2019.0,538.0,41.0,0.0,13.0,26.0,13.518460677060904,17.156219512195126,13.0,3.0,0
NCT02215967,2014.0,1388.0,291.0,790.0,48.0,13.0,13.693451260249017,7.876477644492912,26.0,27.0,1
NCT05138458,2021.0,236.0,63.0,152.0,7.0,14.0,36.78325581395349,9.844563492063497,5.0,4.0,0
NCT04456023,2022.0,269.0,24.0,66.0,11.0,8.0,11.101158605174355,14.456,6.0,1.0,0
NCT06003179,2024.0,861.0,66.0,290.0,17.0,26.0,13.037343750000002,18.506538461538465,14.0,7.0,0
NCT05266950,2021.0,619.0,74.0,0.0,12.0,14.0,13.341971437875056,15.414805194805197,18.0,14.0,0
NCT03361748,2017.0,634.0,55.0,13.0,14.0,18.0,12.325420420420425,15.803636363636365,10.0,5.0,1
NCT05981235,2023.0,433.0,34.0,55.0,5.0,13.0,12.138483253588515,18.02075757575758,14.0,2.0,1
NCT06197178,2023.0,210.0,26.0,66.0,9.0,10.0,13.444917597022865,16.40142857142857,3.0,3.0,0
NCT03919526,2019.0,450.0,48.0,69.0,17.0,10.0,21.9071170139684,18.150000000000002,14.0,17.0,1
NCT02535364,2015.0,521.0,108.0,108.0,12.0,21.0,14.016611079706049,17.723571428571436,13.0,4.0,0
NCT04029038,2019.0,570.0,96.0,196.0,24.0,9.0,30.38021065675341,14.089404761904763,20.0,16.0,0
NCT03289455,2017.0,535.0,38.0,106.0,18.0,20.0,10.147027389453218,19.103684210526314,18.0,11.0,1
NCT05248685,2022.0,424.0,111.0,0.0,8.0,17.0,13.086157760814249,13.37842990654206,8.0,5.0,0
NCT05623488,2023.0,531.0,8.0,124.0,17.0,17.0,11.428639455782314,4.450000000000003,11.0,11.0,0
NCT04318327,2020.0,266.0,48.0,82.0,8.0,6.0,16.57514705882353,19.235566037735854,6.0,2.0,0
NCT03752541,2019.0,242.0,20.0,73.0,12.0,10.0,29.874412442396324,14.514285714285716,9.0,4.0,0
NCT04260945,2020.0,416.0,29.0,88.0,12.0,19.0,11.951679536679539,16.064117647058826,16.0,6.0,1
NCT03430011,2018.0,589.0,123.0,0.0,14.0,13.0,14.064257551094233,17.931900000000002,6.0,7.0,1
NCT04036019,2019.0,325.0,27.0,50.0,12.0,16.0,11.937241379310347,16.433750000000007,6.0,3.0,1
NCT03103971,2017.0,1081.0,146.0,110.0,38.0,25.0,35.14401152737753,9.077945945945945,28.0,20.0,0
NCT05169489,2022.0,339.0,61.0,30.0,11.0,9.0,12.670745341614907,17.10529411764706,6.0,3.0,0
NCT04136275,2020.0,1186.0,50.0,233.0,55.0,14.0,17.367366028498996,14.916020408163266,35.0,6.0,1
NCT03958656,2019.0,1246.0,301.0,782.0,32.0,17.0,14.892081412665771,9.168801169590648,22.0,19.0,1
NCT02529813,2015.0,249.0,127.0,173.0,6.0,7.0,100.92376569037657,13.645185185185188,6.0,10.0,1
NCT01316146,2011.0,487.0,306.0,249.0,9.0,27.0,12.34596853490659,9.525897435897438,7.0,3.0,0
NCT03874897,2019.0,738.0,28.0,51.0,12.0,23.0,14.461677893447646,17.793333333333333,14.0,9.0,1
NCT04169022,2019.0,12.0,82.0,0.0,2.0,2.0,14.270000000000007,24.505581395348838,0.0,0.0,1
NCT05826288,2023.0,286.0,55.0,134.0,13.0,3.0,25.88555882352941,20.67096774193549,2.0,0.0,1
NCT03492268,2021.0,189.0,20.0,61.0,6.0,9.0,31.896140350877193,13.952380952380953,7.0,4.0,0
NCT04340167,2020.0,272.0,162.0,0.0,6.0,17.0,23.384602556976102,21.071976608187132,2.0,6.0,1
NCT03391466,2018.0,633.0,33.0,57.0,32.0,14.0,14.395075376884424,22.05,17.0,7.0,1
NCT03884751,2019.0,658.0,22.0,106.0,15.0,19.0,15.345551529790658,17.493043478260876,14.0,8.0,1
NCT06304636,2024.0,179.0,37.0,0.0,14.0,4.0,12.237209834190967,16.761904761904763,8.0,0.0,0
NCT03288493,2017.0,307.0,62.0,100.0,6.0,15.0,23.033333333333335,14.88888888888889,4.0,0.0,0
NCT05909527,2023.0,952.0,31.0,94.0,15.0,20.0,13.622301587301589,20.311428571428575,20.0,14.0,0
NCT05714345,2023.0,77.0,46.0,0.0,6.0,4.0,38.34028985507247,26.73,2.0,0.0,0
NCT05172596,2022.0,243.0,41.0,182.0,5.0,5.0,11.733907650926483,13.371818181818181,5.0,3.0,0
