year,crispr_cancer,cart_cancer,gene_therapy_cancer,til_therapy,nk_cell_cancer,base_editing_cancer,ai_crispr,total,crispr_cancer_yoy_pct,cart_cancer_yoy_pct,gene_therapy_cancer_yoy_pct,til_therapy_yoy_pct,nk_cell_cancer_yoy_pct,base_editing_cancer_yoy_pct,ai_crispr_yoy_pct
2013,3,19,452,8,7,0,0,489,,,,,,,
2014,26,31,489,12,5,1,2,566,766.6666666666666,63.1578947368421,8.185840707964598,50.0,-28.57142857142857,inf,inf
2015,88,71,527,37,9,0,7,739,238.46153846153845,129.03225806451616,7.770961145194266,208.33333333333334,80.0,-100.0,250.0
2016,227,116,526,44,7,0,10,930,157.95454545454547,63.38028169014085,-0.189753320683117,18.918918918918926,-22.22222222222222,,42.85714285714286
2017,382,200,442,57,12,2,15,1110,68.28193832599119,72.41379310344827,-15.969581749049432,29.54545454545454,71.42857142857142,inf,50.0
2018,550,313,465,73,15,6,24,1446,43.97905759162304,56.49999999999999,5.203619909502266,28.07017543859649,25.0,200.0,60.00000000000001
2019,703,404,493,82,15,2,53,1752,27.81818181818181,29.073482428115007,6.021505376344094,12.328767123287676,0.0,-66.66666666666667,120.83333333333334
2020,903,615,511,135,24,9,69,2266,28.449502133712667,52.22772277227723,3.6511156186612492,64.6341463414634,60.00000000000001,350.0,30.188679245283012
2021,1086,699,587,133,34,14,83,2636,20.26578073089702,13.658536585365844,14.87279843444227,-1.4814814814814836,41.66666666666667,55.55555555555556,20.28985507246377
2022,1078,763,507,139,62,16,88,2653,-0.7366482504604033,9.15593705293276,-13.62862010221465,4.511278195488733,82.35294117647058,14.28571428571428,6.024096385542177
2023,1135,853,531,114,48,27,123,2831,5.287569573283868,11.795543905635641,4.7337278106508895,-17.985611510791365,-22.580645161290324,68.75,39.77272727272727
2024,1288,1022,538,139,61,24,168,3240,13.480176211453742,19.81242672919108,1.3182674199623268,21.92982456140351,27.083333333333325,-11.111111111111116,36.585365853658544
